Timestep,Alpha,Omega,Theta
44.6,0.00028989477,-0.0012120427,0.39188962
44.7,0.00030262952,-0.0011817798,0.39177144
44.8,0.00031462231,-0.0011503175,0.39165641
44.9,0.00032587052,-0.0011177305,0.39154463
45,0.00033637274,-0.0010840932,0.39143622
45.1,0.00034612875,-0.0010494803,0.39133128
45.2,0.00035513948,-0.0010139664,0.39122988
45.3,0.00036340699,-0.00097762569,0.39113212
45.4,0.00037093447,-0.00094053224,0.39103806
45.5,0.00037772615,-0.00090275962,0.39094779
45.6,0.00038378734,-0.00086438089,0.39086135
45.7,0.00038912435,-0.00082546845,0.3907788
45.8,0.00039374446,-0.00078609401,0.39070019
45.9,0.00039765593,-0.00074632842,0.39062556
46,0.00040086792,-0.00070624162,0.39055494
46.1,0.00040339049,-0.00066590257,0.39048835
46.2,0.00040523454,-0.00062537912,0.39042581
46.3,0.00040641178,-0.00058473794,0.39036733
46.4,0.00040693471,-0.00054404447,0.39031293
46.5,0.00040681656,-0.00050336281,0.39026259
46.6,0.0004060713,-0.00046275568,0.39021632
46.7,0.00040471353,-0.00042228433,0.39017409
46.8,0.00040275851,-0.00038200848,0.39013589
46.9,0.00040022207,-0.00034198627,0.39010169
47,0.00039712064,-0.00030227421,0.39007146
47.1,0.00039347114,-0.0002629271,0.39004517
47.2,0.00038929097,-0.000223998,0.39002277
47.3,0.000384598,-0.0001855382,0.39000422
47.4,0.00037941049,-0.00014759715,0.38998946
47.5,0.00037374709,-0.00011022244,0.38997843
47.6,0.00036762678,-7.3459763e-05,0.38997109
47.7,0.00036106882,-3.7352881e-05,0.38996735
47.8,0.00035409276,-1.9436054e-06,0.38996716
47.9,0.00034671836,3.2728231e-05,0.38997043
48,0.00033896558,6.6624789e-05,0.38997709
48.1,0.00033085454,9.9710242e-05,0.38998707
48.2,0.00032240547,0.00013195079,0.39000026
48.3,0.00031363869,0.00016331466,0.39001659
48.4,0.00030457459,0.00019377212,0.39003597
48.5,0.00029523357,0.00022329547,0.3900583
48.6,0.00028563601,0.00025185907,0.39008348
48.7,0.00027580228,0.0002794393,0.39011143
48.8,0.00026575264,0.00030601457,0.39014203
48.9,0.00025550729,0.0003315653,0.39017519
49,0.00024508626,0.00035607392,0.39021079
49.1,0.00023450944,0.00037952487,0.39024875
49.2,0.00022379654,0.00040190452,0.39028894
49.3,0.00021296705,0.00042320123,0.39033126
49.4,0.00020204022,0.00044340525,0.3903756
49.5,0.00019103503,0.00046250875,0.39042185
49.6,0.00017997019,0.00048050577,0.3904699
49.7,0.0001688641,0.00049739218,0.39051964
49.8,0.00015773481,0.00051316566,0.39057095
49.9,0.00014660004,0.00052782566,0.39062374
50,0.00013547712,0.00054137338,0.39067787
50.1,0.00012438301,0.00055381168,0.39073326
50.2,0.00011333423,0.0005651451,0.39078977
50.3,0.00010234692,0.00057537979,0.39084731
50.4,9.1436732e-05,0.00058452346,0.39090576
50.5,8.0618894e-05,0.00059258535,0.39096502
50.6,6.9908152e-05,0.00059957617,0.39102498
50.7,5.9318771e-05,0.00060550805,0.39108553
50.8,4.8864524e-05,0.0006103945,0.39114657
50.9,3.8558677e-05,0.00061425037,0.39120799
51,2.8413984e-05,0.00061709176,0.3912697
51.1,1.8442674e-05,0.00061893603,0.39133159
51.2,8.6564472e-06,0.00061980168,0.39139357
51.3,-9.3353554e-07,0.00061970832,0.39145555
51.4,-1.0316655e-05,0.00061867666,0.39151741
51.5,-1.9482841e-05,0.00061672837,0.39157909
51.6,-2.8422574e-05,0.00061388612,0.39164047
51.7,-3.712689e-05,0.00061017343,0.39170149
51.8,-4.558738e-05,0.00060561469,0.39176205
51.9,-5.3796194e-05,0.00060023507,0.39182208
52,-6.174604e-05,0.00059406047,0.39188148
52.1,-6.9430182e-05,0.00058711745,0.39194019
52.2,-7.684244e-05,0.0005794332,0.39199814
52.3,-8.3977186e-05,0.00057103548,0.39205524
52.4,-9.0829345e-05,0.00056195255,0.39211144
52.5,-9.7394384e-05,0.00055221311,0.39216666
52.6,-0.00010366832,0.00054184628,0.39222084
52.7,-0.00010964768,0.00053088151,0.39227393
52.8,-0.00011532957,0.00051934856,0.39232587
52.9,-0.00012071156,0.0005072774,0.39237659
53,-0.00012579178,0.00049469822,0.39242606
53.1,-0.00013056885,0.00048164134,0.39247423
53.2,-0.00013504188,0.00046813715,0.39252104
53.3,-0.00013921049,0.0004542161,0.39256646
53.4,-0.00014307477,0.00043990862,0.39261045
53.5,-0.00014663526,0.0004252451,0.39265298
53.6,-0.00014989299,0.0004102558,0.392694
53.7,-0.00015284941,0.00039497086,0.3927335
53.8,-0.00015550643,0.00037942021,0.39277144
53.9,-0.00015786636,0.00036363358,0.39280781
54,-0.00015993192,0.00034764039,0.39284257
54.1,-0.00016170624,0.00033146976,0.39287572
54.2,-0.00016319283,0.00031515048,0.39290723
54.3,-0.00016439557,0.00029871092,0.3929371
54.4,-0.00016531868,0.00028217905,0.39296532
54.5,-0.00016596675,0.00026558238,0.39299188
54.6,-0.00016634468,0.00024894791,0.39301677
54.7,-0.00016645767,0.00023230214,0.39304
54.8,-0.00016631124,0.00021567102,0.39306157
54.9,-0.00016591119,0.0001990799,0.39308148
55,-0.00016526358,0.00018255354,0.39309974
55.1,-0.00016437472,0.00016611607,0.39311635
55.2,-0.00016325117,0.00014979095,0.39313133
55.3,-0.0001618997,0.00013360098,0.39314469
55.4,-0.00016032729,0.00011756825,0.39315644
55.5,-0.00015854112,0.00010171414,0.39316661
55.6,-0.00015654854,8.6059289e-05,0.39317522
55.7,-0.00015435706,7.0623584e-05,0.39318228
55.8,-0.00015197433,5.542615e-05,0.39318783
55.9,-0.00014940815,4.0485335e-05,0.39319187
56,-0.00014666643,2.5818692e-05,0.39319446
56.1,-0.00014375717,1.1442975e-05,0.3931956
56.2,-0.00014068846,-2.6258713e-06,0.39319534
56.3,-0.00013746848,-1.6372719e-05,0.3931937
56.4,-0.00013410545,-2.9783264e-05,0.39319072
56.5,-0.00013060764,-4.2844028e-05,0.39318644
56.6,-0.00012698335,-5.5542363e-05,0.39318088
56.7,-0.0001232409,-6.7866453e-05,0.3931741
56.8,-0.00011938862,-7.9805315e-05,0.39316612
56.9,-0.00011543482,-9.1348797e-05,0.39315698
57,-0.00011138779,-0.00010248758,0.39314673
