Timestep,Alpha,Omega,Theta
52.4,0.0067571495,0.054849026,0.33048831
52.5,0.0042746914,0.05853588,0.35508759
52.6,-0.017075109,0.05786459,0.3650989
52.7,-0.017541174,0.058520673,0.37569026
52.8,-0.018813601,0.058446047,0.38231615
52.9,-0.016626784,0.059766659,0.3963338
53,-0.021557846,0.057399665,0.38992555
53.1,-0.0063685356,0.059917557,0.40446251
53.2,-0.014800636,0.055560573,0.38409347
53.3,0.012035603,0.059845172,0.40139757
53.4,-0.0088874113,0.060518212,0.4192446
53.5,-0.021947609,0.058717488,0.42012874
53.6,-0.015372526,0.058088864,0.41880065
53.7,-0.0092326276,0.057713581,0.41784501
53.8,-0.0056366899,0.055916868,0.40663594
53.9,0.0058096631,0.055703899,0.40030698
54,0.010236836,0.058325084,0.41673763
54.1,-0.0084336696,0.056593416,0.41698666
54.2,-0.0060906935,0.055335138,0.41023133
54.3,0.0021996867,0.056914347,0.41964749
54.4,-0.006487175,0.053390039,0.40121141
54.5,0.011688268,0.05399633,0.39592731
54.6,0.012717123,0.054600468,0.39849668
54.7,0.0062472391,0.054595177,0.4017737
54.8,0.0015309455,0.052984568,0.39354787
54.9,0.0096786615,0.055470318,0.40773866
55,-0.0066141155,0.054437742,0.41144491
55.1,-0.0076051729,0.053399427,0.40808414
55.2,-0.0020777994,0.052599148,0.40176677
55.3,0.0042886144,0.052282957,0.39697603
55.4,0.0075605689,0.052963139,0.40044968
55.5,0.0020838571,0.052651635,0.4020496
55.6,0.00016993403,0.052623007,0.40464117
55.7,-0.00185902,0.0505951,0.3922929
55.8,0.010314497,0.051339918,0.3910951
55.9,0.0085956613,0.052556264,0.40079007
56,-0.0034431947,0.053218142,0.41460643
56.1,-0.01403106,0.050769284,0.40647653
56.2,-0.0014328699,0.052179572,0.41382263
56.3,-0.008078226,0.052166361,0.42132442
56.4,-0.012081595,0.050122609,0.41216622
56.5,-0.0014367173,0.047068114,0.38348846
56.6,0.028568716,0.051842001,0.40057637
56.7,0.0034339039,0.050220358,0.40109167
56.8,0.002032322,0.049064978,0.3937065
56.9,0.0089636806,0.050869435,0.40400947
57,-0.0035009514,0.050380086,0.40922603
57.1,-0.0070437221,0.05009096,0.41262586
57.2,-0.0076058006,0.048542567,0.40415639
57.3,0.0028533079,0.049461021,0.40730241
57.4,-0.0012405205,0.05042181,0.41963678
57.5,-0.013073204,0.050147102,0.42940556
57.6,-0.018250871,0.049120247,0.43090662
57.7,-0.01464593,0.05082976,0.4506088
57.8,-0.029723633,0.049186814,0.45589252
57.9,-0.026192127,0.047924938,0.45274173
58,-0.016556231,0.046532956,0.44121537
58.1,-0.0025674196,0.046967022,0.43959752
58.2,-0.0022366417,0.04746724,0.44663168
58.3,-0.010370704,0.047181027,0.45408399
58.4,-0.016565061,0.04716676,0.46531441
58.5,-0.023106489,0.044818729,0.45611592
58.6,-0.0094950236,0.045396187,0.4584977
58.7,-0.011028231,0.044080449,0.45182377
58.8,-0.0036543075,0.045571468,0.46547764
58.9,-0.018760697,0.044766782,0.47565756
59,-0.026237038,0.044786589,0.49279386
59.1,-0.036737825,0.042593341,0.49226398
59.2,-0.027584785,0.040850896,0.47856006
59.3,-0.0099381667,0.0412734,0.47627005
59.4,-0.0083864143,0.039835227,0.46347718
59.5,0.0017807696,0.039323065,0.45069268
59.6,0.008781634,0.038712341,0.43630383
59.7,0.017097169,0.040968853,0.45037248
59.8,-0.0029528191,0.038125842,0.43546875
59.9,0.0080243552,0.037469098,0.41800714
60,0.019498321,0.038853623,0.41887616
60.1,0.010676708,0.03784313,0.41108776
60.2,0.012736985,0.037655314,0.40391616
60.3,0.014777999,0.039451628,0.41753403
60.4,-0.0037428919,0.038307998,0.42061523
60.5,-0.0064271475,0.038792597,0.4318529
60.6,-0.015856177,0.037742516,0.434614
